0,1,2,3
1,bus_2,76,50
2,bus_2,74,48
3,bus_2,71,46
4,bus_2,68,45
5,bus_2,64,43
6,bus_2,60,41
7,bus_2,56,39
8,bus_2,52,37
9,bus_2,49,35
10,bus_2,46,33
11,bus_2,42,31
12,bus_2,38,29
13,bus_2,34,27
14,bus_2,31,25
15,bus_2,27,22
16,bus_2,23,19
17,bus_2,19,16
18,bus_2,15,13
19,bus_2,10,9
20,bus_2,5,5
1,train_1,2,47
2,train_1,0,39
3,train_1,0,33
4,train_1,0,26
5,train_1,0,20
6,train_1,1,14
7,train_1,2,9
8,train_1,6,6
9,train_1,11,3
10,train_1,17,1
11,train_1,24,1
12,train_1,32,0
13,train_1,39,0
14,train_1,45,0
15,train_1,52,0
16,train_1,60,0
17,train_1,67,1
18,train_1,73,3
19,train_1,78,7
20,train_1,80,13
21,train_1,80,19
22,train_1,80,26
23,train_1,80,32
24,train_1,80,38
25,train_1,80,45
26,train_1,76,48
27,train_1,68,50
28,train_1,60,50
29,train_1,51,50
30,train_1,44,50
31,train_1,37,50
32,train_1,28,50
33,train_1,21,50
34,train_1,14,50
35,train_1,7,50
36,train_1,7,47
37,train_1,11,44
38,train_1,16,41
39,train_1,21,38
40,train_1,26,35
41,train_1,31,32
42,train_1,36,29
43,train_1,41,26
44,train_1,46,22
45,train_1,51,19
46,train_1,55,16
47,train_1,59,12
48,train_1,63,9
49,train_1,68,7
