0,1,2,3
1,bus_1,1,1
2,bus_1,1,2
3,bus_1,1,3
4,bus_1,1,4
5,bus_1,1,5
6,bus_1,1,6
7,bus_1,1,7
8,bus_1,1,8
9,bus_1,1,8
10,bus_1,2,9
11,bus_1,3,9
12,bus_1,4,9
13,bus_1,5,9
14,bus_1,6,9
15,bus_1,7,9
16,bus_1,7,10
17,bus_1,7,11
18,bus_1,7,12
19,bus_1,8,12
20,bus_1,9,12
1,bus_2,14,1
2,bus_2,14,2
3,bus_2,14,3
4,bus_2,14,5
5,bus_2,14,6
6,bus_2,14,7
7,bus_2,14,8
8,bus_2,14,9
9,bus_2,13,10
10,bus_2,12,11
11,bus_2,11,12
12,bus_2,11,13
13,bus_2,10,14
14,bus_2,9,15
15,bus_2,8,16
16,bus_2,7,16
17,bus_2,6,16
18,bus_2,5,16
19,bus_2,4,16
20,bus_2,4,17
